date,state_id,doses_administered_cumulative
2021-01-22,6,31350
2021-01-22,7,16070
2021-01-22,8,12579
2021-01-22,9,44548
2021-01-23,1,6636
2021-01-23,2,12725
2021-01-23,3,35627
2021-01-23,4,33681
2021-01-23,5,12284
2021-01-23,6,31474
2021-01-23,7,16319
2021-01-23,8,12654
2021-01-23,9,44927
2021-01-24,1,6636
2021-01-24,2,13524
2021-01-24,3,35630
2021-01-24,4,34099
2021-01-24,5,12287
2021-01-24,6,31493
2021-01-24,7,16324
2021-01-24,8,12656
2021-01-24,9,44944
2021-01-25,1,6711
2021-01-25,2,13526
2021-01-25,3,35784
2021-01-25,4,34331
2021-01-25,5,12509
2021-01-25,6,31728
2021-01-25,7,16553
2021-01-25,8,12664
2021-01-25,9,45309
2021-01-26,1,6992
2021-01-26,2,13860
2021-01-26,3,36690
2021-01-26,4,36971
2021-01-26,5,12761
2021-01-26,6,33346
2021-01-26,7,17679
2021-01-26,8,13086
2021-01-26,9,46357
2021-01-27,1,7273
2021-01-27,2,14154
2021-01-27,3,37950
2021-01-27,4,39724
2021-01-27,5,12989
2021-01-27,6,33887
2021-01-27,7,18174
2021-01-27,8,13110
2021-01-27,9,48436
2021-01-28,1,7381
2021-01-28,2,14435
2021-01-28,3,39452
2021-01-28,4,42458
2021-01-28,5,13630
2021-01-28,6,34935
2021-01-28,7,18960
2021-01-28,8,13146
2021-01-28,9,51176
2021-01-29,1,7560
2021-01-29,2,15931
2021-01-29,3,41276
2021-01-29,4,44896
2021-01-29,5,14620
2021-01-29,6,37577
2021-01-29,7,19941
2021-01-29,8,14908
2021-01-29,9,53770
2021-01-30,1,7605
2021-01-30,2,15932
2021-01-30,3,42198
2021-01-30,4,45823
2021-01-30,5,14759
2021-01-30,6,37927
2021-01-30,7,19974
2021-01-30,8,16000
2021-01-30,9,53962
2021-01-31,1,7639
2021-01-31,2,15933
2021-01-31,3,42733
2021-01-31,4,46094
2021-01-31,5,14805
2021-01-31,6,37942
2021-01-31,7,20042
2021-01-31,8,16341
2021-01-31,9,54072
2021-02-01,1,7933
2021-02-01,2,16055
2021-02-01,3,44517
2021-02-01,4,46223
2021-02-01,5,15296
2021-02-01,6,38447
2021-02-01,7,20261
2021-02-01,8,16350
2021-02-01,9,55208
2021-02-02,1,8731
2021-02-02,2,18037
2021-02-02,3,49821
2021-02-02,4,46423
2021-02-02,5,16460
2021-02-02,6,40749
2021-02-02,7,22862
2021-02-02,8,16859
2021-02-02,9,57523
2021-02-03,1,9287
2021-02-03,2,19890
2021-02-03,3,53627
2021-02-03,4,50368
2021-02-03,5,17373
2021-02-03,6,43037
2021-02-03,7,25080
2021-02-03,8,17545
2021-02-03,9,59118
2021-02-04,1,9660
2021-02-04,2,21439
2021-02-04,3,57454
2021-02-04,4,55238
2021-02-04,5,18861
2021-02-04,6,45710
2021-02-04,7,27379
2021-02-04,8,18153
2021-02-04,9,61786
2021-02-05,1,10224
2021-02-05,2,21996
2021-02-05,3,60719
2021-02-05,4,58306
2021-02-05,5,20380
2021-02-05,6,49725
2021-02-05,7,29469
2021-02-05,8,19236
2021-02-05,9,66706
2021-02-06,1,10406
2021-02-06,2,23180
2021-02-06,3,62759
2021-02-06,4,58484
2021-02-06,5,20563
2021-02-06,6,50428
2021-02-06,7,29911
2021-02-06,8,20419
2021-02-06,9,69712
2021-02-07,1,10556
2021-02-07,2,23981
2021-02-07,3,63524
2021-02-07,4,58507
2021-02-07,5,20574
2021-02-07,6,50579
2021-02-07,7,30149
2021-02-07,8,20690
2021-02-07,9,72312
2021-02-08,1,10822
2021-02-08,2,24721
2021-02-08,3,65283
2021-02-08,4,58631
2021-02-08,5,20846
2021-02-08,6,52314
2021-02-08,7,30294
2021-02-08,8,20826
2021-02-08,9,76891
2021-02-09,1,12376
2021-02-09,2,26029
2021-02-09,3,69133
2021-02-09,4,60467
2021-02-09,5,22574
2021-02-09,6,56578
2021-02-09,7,32199
2021-02-09,8,21302
2021-02-09,9,79353
2021-02-10,1,13297
2021-02-10,2,27279
2021-02-10,3,74884
2021-02-10,4,62265
2021-02-10,5,23780
2021-02-10,6,61071
2021-02-10,7,34110
2021-02-10,8,22331
2021-02-10,9,82783
2021-02-11,1,13791
2021-02-11,2,28144
2021-02-11,3,79949
2021-02-11,4,67903
2021-02-11,5,25149
2021-02-11,6,65529
2021-02-11,7,35160
2021-02-11,8,22631
2021-02-11,9,88212
2021-02-12,1,14120
2021-02-12,2,28677
2021-02-12,3,84623
2021-02-12,4,75839
2021-02-12,5,26121
2021-02-12,6,69542
2021-02-12,7,36039
2021-02-12,8,23621
2021-02-12,9,94430
2021-02-13,1,15176
2021-02-13,2,30017
2021-02-13,3,86508
2021-02-13,4,79032
2021-02-13,5,26287
2021-02-13,6,69884
2021-02-13,7,36296
2021-02-13,8,25088
2021-02-13,9,95125
2021-02-14,1,15182
2021-02-14,2,30851
2021-02-14,3,86679
2021-02-14,4,79640
2021-02-14,5,26291
2021-02-14,6,69910
2021-02-14,7,36388
2021-02-14,8,25338
2021-02-14,9,95192
2021-02-15,1,15313
2021-02-15,2,31351
2021-02-15,3,87923
2021-02-15,4,80966
2021-02-15,5,26503
2021-02-15,6,70907
2021-02-15,7,36447
2021-02-15,8,25400
2021-02-15,9,97727
2021-02-16,1,15600
2021-02-16,2,32516
2021-02-16,3,91305
2021-02-16,4,83872
2021-02-16,5,26875
2021-02-16,6,72658
2021-02-16,7,38153
2021-02-16,8,25813
2021-02-16,9,100331
2021-02-17,1,16001
2021-02-17,2,34126
2021-02-17,3,95771
2021-02-17,4,87158
2021-02-17,5,27295
2021-02-17,6,74862
2021-02-17,7,39942
2021-02-17,8,26298
2021-02-17,9,105238
2021-02-18,1,17268
2021-02-18,2,34995
2021-02-18,3,99697
2021-02-18,4,90689
2021-02-18,5,28207
2021-02-18,6,77206
2021-02-18,7,42528
2021-02-18,8,26411
2021-02-18,9,109580
2021-02-19,1,17758
2021-02-19,2,35940
2021-02-19,3,103230
2021-02-19,4,95907
2021-02-19,5,30173
2021-02-19,6,79072
2021-02-19,7,44269
2021-02-19,8,28455
2021-02-19,9,113085
2021-02-20,1,19008
2021-02-20,2,39304
2021-02-20,3,104314
2021-02-20,4,97180
2021-02-20,5,30957
2021-02-20,6,80152
2021-02-20,7,46174
2021-02-20,8,30097
2021-02-20,9,113644
2021-02-21,1,19039
2021-02-21,2,42283
2021-02-21,3,104771
2021-02-21,4,97467
2021-02-21,5,31144
2021-02-21,6,80218
2021-02-21,7,46213
2021-02-21,8,31967
2021-02-21,9,113698
2021-02-22,1,19147
2021-02-22,2,42499
2021-02-22,3,106651
2021-02-22,4,98234
2021-02-22,5,32025
2021-02-22,6,81267
2021-02-22,7,47028
2021-02-22,8,31978
2021-02-22,9,114972
2021-02-23,1,19278
2021-02-23,2,43289
2021-02-23,3,110837
2021-02-23,4,101745
2021-02-23,5,33373
2021-02-23,6,82699
2021-02-23,7,49148
2021-02-23,8,31997
2021-02-23,9,116391
2021-02-24,1,20480
2021-02-24,2,44616
2021-02-24,3,116411
2021-02-24,4,104672
2021-02-24,5,34507
2021-02-24,6,84115
2021-02-24,7,51301
2021-02-24,8,32131
2021-02-24,9,120408
2021-02-25,1,21701
2021-02-25,2,46092
2021-02-25,3,121279
2021-02-25,4,109714
2021-02-25,5,36021
2021-02-25,6,85532
2021-02-25,7,53337
2021-02-25,8,32164
2021-02-25,9,122876
2021-02-26,1,22470
2021-02-26,2,46921
2021-02-26,3,126727
2021-02-26,4,116482
2021-02-26,5,37964
2021-02-26,6,89026
2021-02-26,7,56085
2021-02-26,8,35158
2021-02-26,9,127332
2021-02-27,1,24336
2021-02-27,2,50141
2021-02-27,3,130318
2021-02-27,4,119745
2021-02-27,5,38691
2021-02-27,6,93286
2021-02-27,7,60079
2021-02-27,8,36440
2021-02-27,9,130142
2021-02-28,1,24382
2021-02-28,2,50494
2021-02-28,3,132375
2021-02-28,4,120324
2021-02-28,5,38719
2021-02-28,6,94886
2021-02-28,7,60647
2021-02-28,8,38895
2021-02-28,9,132608
2021-03-01,1,24476
2021-03-01,2,51232
2021-03-01,3,134826
2021-03-01,4,120892
2021-03-01,5,39576
2021-03-01,6,95652
2021-03-01,7,61198
2021-03-01,8,38912
2021-03-01,9,135546
2021-03-02,1,24709
2021-03-02,2,52045
2021-03-02,3,140227
2021-03-02,4,123314
2021-03-02,5,42209
2021-03-02,6,105617
2021-03-02,7,62564
2021-03-02,8,38943
2021-03-02,9,138205
2021-03-03,1,25724
2021-03-03,2,52835
2021-03-03,3,146954
2021-03-03,4,126532
2021-03-03,5,44840
2021-03-03,6,113544
2021-03-03,7,64473
2021-03-03,8,38982
2021-03-03,9,142007
2021-03-04,1,27141
2021-03-04,2,53876
2021-03-04,3,152777
2021-03-04,4,130300
2021-03-04,5,47436
2021-03-04,6,119667
2021-03-04,7,66263
2021-03-04,8,39321
2021-03-04,9,146663
2021-03-05,1,27884
2021-03-05,2,54314
2021-03-05,3,160820
2021-03-05,4,137599
2021-03-05,5,49418
2021-03-05,6,126401
2021-03-05,7,68737
2021-03-05,8,43448
2021-03-05,9,152033
2021-03-06,1,30196
2021-03-06,2,58471
2021-03-06,3,163445
2021-03-06,4,141319
2021-03-06,5,49689
2021-03-06,6,130195
2021-03-06,7,70162
2021-03-06,8,47358
2021-03-06,9,157905
2021-03-07,1,30254
2021-03-07,2,60213
2021-03-07,3,164583
2021-03-07,4,141666
2021-03-07,5,49723
2021-03-07,6,130674
2021-03-07,7,70441
2021-03-07,8,51148
2021-03-07,9,161906
2021-03-08,1,30362
2021-03-08,2,60940
2021-03-08,3,166392
2021-03-08,4,142762
2021-03-08,5,50142
2021-03-08,6,131570
2021-03-08,7,70891
2021-03-08,8,51175
2021-03-08,9,168079
2021-03-09,1,31769
2021-03-09,2,61476
2021-03-09,3,172517
2021-03-09,4,149362
2021-03-09,5,52938
2021-03-09,6,132813
2021-03-09,7,72962
2021-03-09,8,51394
2021-03-09,9,175538
2021-03-10,1,32666
2021-03-10,2,62843
2021-03-10,3,179331
2021-03-10,4,155654
2021-03-10,5,55487
2021-03-10,6,134229
2021-03-10,7,74758
2021-03-10,8,51488
2021-03-10,9,183224
2021-03-11,1,33813
2021-03-11,2,63854
2021-03-11,3,186592
2021-03-11,4,165315
2021-03-11,5,57825
2021-03-11,6,135617
2021-03-11,7,87275
2021-03-11,8,53605
2021-03-11,9,190623
2021-03-12,1,34815
2021-03-12,2,64607
2021-03-12,3,195799
2021-03-12,4,174662
2021-03-12,5,61176
2021-03-12,6,140320
2021-03-12,7,105948
2021-03-12,8,56738
2021-03-12,9,199121
2021-03-13,1,37977
2021-03-13,2,70514
2021-03-13,3,198572
2021-03-13,4,179055
2021-03-13,5,63038
2021-03-13,6,143902
2021-03-13,7,126483
2021-03-13,8,61222
2021-03-13,9,204802
2021-03-14,1,40793
2021-03-14,2,76254
2021-03-14,3,200240
2021-03-14,4,180029
2021-03-14,5,63549
2021-03-14,6,144071
2021-03-14,7,137808
2021-03-14,8,64537
2021-03-14,9,209364
2021-03-15,1,40921
2021-03-15,2,77552
2021-03-15,3,205853
2021-03-15,4,181091
2021-03-15,5,64926
2021-03-15,6,144313
2021-03-15,7,141823
2021-03-15,8,64573
2021-03-15,9,216682
2021-03-16,1,41044
2021-03-16,2,80410
2021-03-16,3,213594
2021-03-16,4,184394
2021-03-16,5,67538
2021-03-16,6,145383
2021-03-16,7,146097
2021-03-16,8,64602
2021-03-16,9,223215
2021-03-17,1,42393
2021-03-17,2,82923
2021-03-17,3,222755
2021-03-17,4,190964
2021-03-17,5,70310
2021-03-17,6,147411
2021-03-17,7,149631
2021-03-17,8,64736
2021-03-17,9,229819
2021-03-18,1,44099
2021-03-18,2,85625
2021-03-18,3,230333
2021-03-18,4,200297
2021-03-18,5,73097
2021-03-18,6,148139
2021-03-18,7,153357
2021-03-18,8,64746
2021-03-18,9,236245
2021-03-19,1,46227
2021-03-19,2,86853
2021-03-19,3,241581
2021-03-19,4,211108
2021-03-19,5,76337
2021-03-19,6,161348
2021-03-19,7,157641
2021-03-19,8,66740
2021-03-19,9,242272
2021-03-20,1,48400
2021-03-20,2,90651
2021-03-20,3,260310
2021-03-20,4,214955
2021-03-20,5,76689
2021-03-20,6,166703
2021-03-20,7,162778
2021-03-20,8,68192
2021-03-20,9,248888
2021-03-21,1,50090
2021-03-21,2,91856
2021-03-21,3,262877
2021-03-21,4,216116
2021-03-21,5,76857
2021-03-21,6,166760
2021-03-21,7,163698
2021-03-21,8,71636
2021-03-21,9,253270
2021-03-22,1,50207
2021-03-22,2,92542
2021-03-22,3,268335
2021-03-22,4,217910
2021-03-22,5,77399
2021-03-22,6,167407
2021-03-22,7,164427
2021-03-22,8,71653
2021-03-22,9,259400
2021-03-23,1,50355
2021-03-23,2,94508
2021-03-23,3,275663
2021-03-23,4,223100
2021-03-23,5,79998
2021-03-23,6,178378
2021-03-23,7,166615
2021-03-23,8,71682
2021-03-23,9,265131
2021-03-24,1,51347
2021-03-24,2,97009
2021-03-24,3,284988
2021-03-24,4,229522
2021-03-24,5,82667
2021-03-24,6,186884
2021-03-24,7,170341
2021-03-24,8,71705
2021-03-24,9,271017
2021-03-25,1,52821
2021-03-25,2,99602
2021-03-25,3,295309
2021-03-25,4,237765
2021-03-25,5,85610
2021-03-25,6,194527
2021-03-25,7,174486
2021-03-25,8,73134
2021-03-25,9,278728
2021-03-26,1,53319
2021-03-26,2,100591
2021-03-26,3,307577
2021-03-26,4,250308
2021-03-26,5,88446
2021-03-26,6,201560
2021-03-26,7,178719
2021-03-26,8,76638
2021-03-26,9,286295
2021-03-27,1,55697
2021-03-27,2,105093
2021-03-27,3,314793
2021-03-27,4,262415
2021-03-27,5,89515
2021-03-27,6,205597
2021-03-27,7,180352
2021-03-27,8,79527
2021-03-27,9,292179
2021-03-28,1,58090
2021-03-28,2,107836
2021-03-28,3,316676
2021-03-28,4,263015
2021-03-28,5,89536
2021-03-28,6,206089
2021-03-28,7,181545
2021-03-28,8,81516
2021-03-28,9,295580
2021-03-29,1,58328
2021-03-29,2,108320
2021-03-29,3,321189
2021-03-29,4,268905
2021-03-29,5,91442
2021-03-29,6,209834
2021-03-29,7,183866
2021-03-29,8,81550
2021-03-29,9,303369
2021-03-30,1,59960
2021-03-30,2,109325
2021-03-30,3,327837
2021-03-30,4,277794
2021-03-30,5,95491
2021-03-30,6,218294
2021-03-30,7,187091
2021-03-30,8,81616
2021-03-30,9,311066
2021-03-31,1,61204
2021-03-31,2,111380
2021-03-31,3,335423
2021-03-31,4,282113
2021-03-31,5,100019
2021-03-31,6,222769
2021-03-31,7,189493
2021-03-31,8,82696
2021-03-31,9,318825
2021-04-01,1,61584
2021-04-01,2,113041
2021-04-01,3,343786
2021-04-01,4,290788
2021-04-01,5,103395
2021-04-01,6,225794
2021-04-01,7,193867
2021-04-01,8,86897
2021-04-01,9,327047
2021-04-02,1,64261
2021-04-02,2,113656
2021-04-02,3,353512
2021-04-02,4,298161
2021-04-02,5,106058
2021-04-02,6,227658
2021-04-02,7,199997
2021-04-02,8,90399
2021-04-02,9,336901
2021-04-03,1,64369
2021-04-03,2,116726
2021-04-03,3,357886
2021-04-03,4,300989
2021-04-03,5,106098
2021-04-03,6,227837
2021-04-03,7,203451
2021-04-03,8,90413
2021-04-03,9,344800
2021-04-04,1,64388
2021-04-04,2,119985
2021-04-04,3,359122
2021-04-04,4,301286
2021-04-04,5,106111
2021-04-04,6,227918
2021-04-04,7,203701
2021-04-04,8,90419
2021-04-04,9,349827
2021-04-05,1,64411
2021-04-05,2,122569
2021-04-05,3,360163
2021-04-05,4,301328
2021-04-05,5,106142
2021-04-05,6,227956
2021-04-05,7,203800
2021-04-05,8,94448
2021-04-05,9,354622
2021-04-06,1,67649
2021-04-06,2,126406
2021-04-06,3,371500
2021-04-06,4,302734
2021-04-06,5,107296
2021-04-06,6,231279
2021-04-06,7,205581
2021-04-06,8,96377
2021-04-06,9,365203
2021-04-07,1,69947
2021-04-07,2,128997
2021-04-07,3,385131
2021-04-07,4,313264
2021-04-07,5,111814
2021-04-07,6,238435
2021-04-07,7,209624
2021-04-07,8,97551
2021-04-07,9,375553
2021-04-08,1,72712
2021-04-08,2,132924
2021-04-08,3,399489
2021-04-08,4,326630
2021-04-08,5,116690
2021-04-08,6,245970
2021-04-08,7,222823
2021-04-08,8,100917
2021-04-08,9,385736
2021-04-09,1,76310
2021-04-09,2,135655
2021-04-09,3,415386
2021-04-09,4,341941
2021-04-09,5,122322
2021-04-09,6,251343
2021-04-09,7,242092
2021-04-09,8,102821
2021-04-09,9,395265
2021-04-10,1,78974
2021-04-10,2,140860
2021-04-10,3,424746
2021-04-10,4,349852
2021-04-10,5,123738
2021-04-10,6,255239
2021-04-10,7,262785
2021-04-10,8,109117
2021-04-10,9,403492
2021-04-11,1,80736
2021-04-11,2,145330
2021-04-11,3,427539
2021-04-11,4,350545
2021-04-11,5,124326
2021-04-11,6,255415
2021-04-11,7,272656
2021-04-11,8,110110
2021-04-11,9,408231
2021-04-12,1,83524
2021-04-12,2,145934
2021-04-12,3,434328
2021-04-12,4,352056
2021-04-12,5,126148
2021-04-12,6,262566
2021-04-12,7,277658
2021-04-12,8,110150
2021-04-12,9,418012
2021-04-13,1,83845
2021-04-13,2,147611
2021-04-13,3,445775
2021-04-13,4,359076
2021-04-13,5,128724
2021-04-13,6,268842
2021-04-13,7,283396
2021-04-13,8,110181
2021-04-13,9,428524
2021-04-14,1,84064
2021-04-14,2,150478
2021-04-14,3,458803
2021-04-14,4,373186
2021-04-14,5,132270
2021-04-14,6,285275
2021-04-14,7,288826
2021-04-14,8,112160
2021-04-14,9,439332
2021-04-15,1,87518
2021-04-15,2,153563
2021-04-15,3,472752
2021-04-15,4,387327
2021-04-15,5,136244
2021-04-15,6,301262
2021-04-15,7,294527
2021-04-15,8,114960
2021-04-15,9,451324
2021-04-16,1,90415
2021-04-16,2,154973
2021-04-16,3,486968
2021-04-16,4,401434
2021-04-16,5,139833
2021-04-16,6,311280
2021-04-16,7,301784
2021-04-16,8,120670
2021-04-16,9,463118
2021-04-17,1,94359
2021-04-17,2,162630
2021-04-17,3,505881
2021-04-17,4,406191
2021-04-17,5,140225
2021-04-17,6,313637
2021-04-17,7,306849
2021-04-17,8,127348
2021-04-17,9,471808
2021-04-18,1,96316
2021-04-18,2,170587
2021-04-18,3,508121
2021-04-18,4,406309
2021-04-18,5,140308
2021-04-18,6,314146
2021-04-18,7,307729
2021-04-18,8,128357
2021-04-18,9,476452
2021-04-19,1,96454
2021-04-19,2,170894
2021-04-19,3,514461
2021-04-19,4,407196
2021-04-19,5,141932
2021-04-19,6,320214
2021-04-19,7,310969
2021-04-19,8,128386
2021-04-19,9,489972
2021-04-20,1,97610
2021-04-20,2,172107
2021-04-20,3,524066
2021-04-20,4,412540
2021-04-20,5,145494
2021-04-20,6,328304
2021-04-20,7,314180
2021-04-20,8,128419
2021-04-20,9,503644
2021-04-21,1,98586
2021-04-21,2,174193
2021-04-21,3,535370
2021-04-21,4,424743
2021-04-21,5,150831
2021-04-21,6,342112
2021-04-21,7,317659
2021-04-21,8,129144
2021-04-21,9,517587
2021-04-22,1,101254
2021-04-22,2,175600
2021-04-22,3,552213
2021-04-22,4,437237
2021-04-22,5,156031
2021-04-22,6,353595
2021-04-22,7,321806
2021-04-22,8,132549
2021-04-22,9,531464
2021-04-23,1,102440
2021-04-23,2,176372
2021-04-23,3,564067
2021-04-23,4,451934
2021-04-23,5,159835
2021-04-23,6,367682
2021-04-23,7,327957
2021-04-23,8,134416
2021-04-23,9,546026
2021-04-24,1,103779
2021-04-24,2,183499
2021-04-24,3,571208
2021-04-24,4,456133
2021-04-24,5,160744
2021-04-24,6,370214
2021-04-24,7,330618
2021-04-24,8,137828
2021-04-24,9,557383
2021-04-25,1,106253
2021-04-25,2,189686
2021-04-25,3,573999
2021-04-25,4,461329
2021-04-25,5,160790
2021-04-25,6,370475
2021-04-25,7,330905
2021-04-25,8,141173
2021-04-25,9,564899
2021-04-26,1,106644
2021-04-26,2,189863
2021-04-26,3,579175
2021-04-26,4,467541
2021-04-26,5,162421
2021-04-26,6,376142
2021-04-26,7,332850
2021-04-26,8,141541
2021-04-26,9,574639
2021-04-27,1,109114
2021-04-27,2,191465
2021-04-27,3,588656
2021-04-27,4,480054
2021-04-27,5,166899
2021-04-27,6,379021
2021-04-27,7,335266
2021-04-27,8,141678
2021-04-27,9,587390
2021-04-28,1,109745
2021-04-28,2,193336
2021-04-28,3,599786
2021-04-28,4,486586
2021-04-28,5,172880
2021-04-28,6,395147
2021-04-28,7,338297
2021-04-28,8,141744
2021-04-28,9,601141
2021-04-29,1,114037
2021-04-29,2,194925
2021-04-29,3,619362
2021-04-29,4,500822
2021-04-29,5,178780
2021-04-29,6,407232
2021-04-29,7,340133
2021-04-29,8,143842
2021-04-29,9,616545
2021-04-30,1,115813
2021-04-30,2,199978
2021-04-30,3,631441
2021-04-30,4,516121
2021-04-30,5,183000
2021-04-30,6,419581
2021-04-30,7,351113
2021-04-30,8,148819
2021-04-30,9,631344
2021-05-01,1,117334
2021-05-01,2,207752
2021-05-01,3,638709
2021-05-01,4,521195
2021-05-01,5,183377
2021-05-01,6,420874
2021-05-01,7,355314
2021-05-01,8,156450
2021-05-01,9,638558
2021-05-02,1,117429
2021-05-02,2,215349
2021-05-02,3,640463
2021-05-02,4,521245
2021-05-02,5,183419
2021-05-02,6,420975
2021-05-02,7,355355
2021-05-02,8,156968
2021-05-02,9,645188
2021-05-03,1,117650
2021-05-03,2,215494
2021-05-03,3,647039
2021-05-03,4,529308
2021-05-03,5,184727
2021-05-03,6,421658
2021-05-03,7,357314
2021-05-03,8,157309
2021-05-03,9,655707
2021-05-04,1,120441
2021-05-04,2,218190
2021-05-04,3,659759
2021-05-04,4,544641
2021-05-04,5,190217
2021-05-04,6,428392
2021-05-04,7,360292
2021-05-04,8,157533
2021-05-04,9,668743
2021-05-05,1,122925
2021-05-05,2,221362
2021-05-05,3,674932
2021-05-05,4,556109
2021-05-05,5,198249
2021-05-05,6,446601
2021-05-05,7,365023
2021-05-05,8,157593
2021-05-05,9,684264
2021-05-06,1,127059
